muni_code_7dig,muni_code,muni_name,state_code_n,state_code_a,state_name,region,intermediate_region_code,intermediate_region_name,immediate_region_code,immediate_region_name,mesoregion_code,mesoregion_name,microregion_code,microregion_name,latitude,longitude,is_capital,pct_urb_pop
1100015,110001,Alta Floresta D'Oeste,11,RO,Rondônia,Norte,1102,Ji-Paraná,110005,Cacoal,1102,Leste Rondoniense,11006,Cacoal,-11.9283,-61.9953,0,0.5727287635290259
1100379,110037,Alto Alegre dos Parecis,11,RO,Rondônia,Norte,1102,Ji-Paraná,110005,Cacoal,1102,Leste Rondoniense,11006,Cacoal,-12.132,-61.835,0,0.28534644194756553
1100403,110040,Alto Paraíso,11,RO,Rondônia,Norte,1101,Porto Velho,110002,Ariquemes,1102,Leste Rondoniense,11003,Ariquemes,-9.71429,-63.3188,0,0.4786693901371462
1100346,110034,Alvorada D'Oeste,11,RO,Rondônia,Norte,1102,Ji-Paraná,110004,Ji-Paraná,1102,Leste Rondoniense,11005,Alvorada D'Oeste,-11.3463,-62.2847,0,0.5235863051088827
1100023,110002,Ariquemes,11,RO,Rondônia,Norte,1101,Porto Velho,110002,Ariquemes,1102,Leste Rondoniense,11003,Ariquemes,-9.90571,-63.0325,0,0.8469558288047989
1100452,110045,Buritis,11,RO,Rondônia,Norte,1101,Porto Velho,110002,Ariquemes,1101,Madeira-Guaporé,11001,Porto Velho,-10.1943,-63.8324,0,0.5596146126053794
1100031,110003,Cabixi,11,RO,Rondônia,Norte,1102,Ji-Paraná,110006,Vilhena,1102,Leste Rondoniense,11008,Colorado do Oeste,-13.4945,-60.552,0,0.4265800728655156
1100601,110060,Cacaulândia,11,RO,Rondônia,Norte,1101,Porto Velho,110002,Ariquemes,1102,Leste Rondoniense,11003,Ariquemes,-10.349,-62.9043,0,0.36070432357043236
1100049,110004,Cacoal,11,RO,Rondônia,Norte,1102,Ji-Paraná,110005,Cacoal,1102,Leste Rondoniense,11006,Cacoal,-11.4343,-61.4562,0,0.7880596635019218
1100700,110070,Campo Novo de Rondônia,11,RO,Rondônia,Norte,1101,Porto Velho,110002,Ariquemes,1101,Madeira-Guaporé,11001,Porto Velho,-10.5712,-63.6266,0,0.26616660086853533
1100809,110080,Candeias do Jamari,11,RO,Rondônia,Norte,1101,Porto Velho,110001,Porto Velho,1101,Madeira-Guaporé,11001,Porto Velho,-8.7907,-63.7005,0,0.6515496233378836
1100908,110090,Castanheiras,11,RO,Rondônia,Norte,1102,Ji-Paraná,110005,Cacoal,1102,Leste Rondoniense,11006,Cacoal,-11.4253,-61.9482,0,0.23384615384615384
1100056,110005,Cerejeiras,11,RO,Rondônia,Norte,1102,Ji-Paraná,110006,Vilhena,1102,Leste Rondoniense,11008,Colorado do Oeste,-13.187,-60.8168,0,0.8467320453344295
1100924,110092,Chupinguaia,11,RO,Rondônia,Norte,1102,Ji-Paraná,110006,Vilhena,1102,Leste Rondoniense,11007,Vilhena,-12.5611,-60.8877,0,0.4412721358872425
1100064,110006,Colorado do Oeste,11,RO,Rondônia,Norte,1102,Ji-Paraná,110006,Vilhena,1102,Leste Rondoniense,11008,Colorado do Oeste,-13.1174,-60.5454,0,0.7346027647786564
1100072,110007,Corumbiara,11,RO,Rondônia,Norte,1102,Ji-Paraná,110006,Vilhena,1102,Leste Rondoniense,11008,Colorado do Oeste,-12.9551,-60.8947,0,0.29488785153136743
1100080,110008,Costa Marques,11,RO,Rondônia,Norte,1102,Ji-Paraná,110004,Ji-Paraná,1101,Madeira-Guaporé,11002,Guajará-Mirim,-12.4367,-64.228,0,0.5481064483111566
1100940,110094,Cujubim,11,RO,Rondônia,Norte,1101,Porto Velho,110002,Ariquemes,1101,Madeira-Guaporé,11001,Porto Velho,-9.36065,-62.5846,0,0.6965434590639586
1100098,110009,Espigão D'Oeste,11,RO,Rondônia,Norte,1102,Ji-Paraná,110005,Cacoal,1102,Leste Rondoniense,11006,Cacoal,-11.5266,-61.0252,0,0.71739357443698
1101005,110100,Governador Jorge Teixeira,11,RO,Rondônia,Norte,1101,Porto Velho,110003,Jaru,1102,Leste Rondoniense,11004,Ji-Paraná,-10.61,-62.7371,0,0.22460045662100456
1100106,110010,Guajará-Mirim,11,RO,Rondônia,Norte,1101,Porto Velho,110001,Porto Velho,1101,Madeira-Guaporé,11002,Guajará-Mirim,-10.7889,-65.3296,0,0.8451843671980027
1101104,110110,Itapuã do Oeste,11,RO,Rondônia,Norte,1101,Porto Velho,110001,Porto Velho,1101,Madeira-Guaporé,11001,Porto Velho,-9.19687,-63.1809,0,0.6096194256362363
1100114,110011,Jaru,11,RO,Rondônia,Norte,1101,Porto Velho,110003,Jaru,1102,Leste Rondoniense,11004,Ji-Paraná,-10.4318,-62.4788,0,0.6752812229593308
1100122,110012,Ji-Paraná,11,RO,Rondônia,Norte,1102,Ji-Paraná,110004,Ji-Paraná,1102,Leste Rondoniense,11004,Ji-Paraná,-10.8777,-61.9322,0,0.8992196209587514
1100130,110013,Machadinho D'Oeste,11,RO,Rondônia,Norte,1101,Porto Velho,110003,Jaru,1102,Leste Rondoniense,11003,Ariquemes,-9.44363,-61.9818,0,0.519447567046732
1101203,110120,Ministro Andreazza,11,RO,Rondônia,Norte,1102,Ji-Paraná,110005,Cacoal,1102,Leste Rondoniense,11006,Cacoal,-11.196,-61.5174,0,0.29694744976816073
1101302,110130,Mirante da Serra,11,RO,Rondônia,Norte,1102,Ji-Paraná,110004,Ji-Paraná,1102,Leste Rondoniense,11004,Ji-Paraná,-11.029,-62.6696,0,0.5425155750126284
1101401,110140,Monte Negro,11,RO,Rondônia,Norte,1101,Porto Velho,110002,Ariquemes,1102,Leste Rondoniense,11003,Ariquemes,-10.2458,-63.29,0,0.5244482293662621
1100148,110014,Nova Brasilândia D'Oeste,11,RO,Rondônia,Norte,1102,Ji-Paraná,110005,Cacoal,1102,Leste Rondoniense,11005,Alvorada D'Oeste,-11.7247,-62.3127,0,0.42165643554392673
1100338,110033,Nova Mamoré,11,RO,Rondônia,Norte,1101,Porto Velho,110001,Porto Velho,1101,Madeira-Guaporé,11001,Porto Velho,-10.4077,-65.3346,0,0.579570655548656
1101435,110143,Nova União,11,RO,Rondônia,Norte,1102,Ji-Paraná,110004,Ji-Paraná,1102,Leste Rondoniense,11004,Ji-Paraná,-10.9068,-62.5564,0,0.20565861470705993
1100502,110050,Novo Horizonte do Oeste,11,RO,Rondônia,Norte,1102,Ji-Paraná,110005,Cacoal,1102,Leste Rondoniense,11006,Cacoal,-11.6961,-61.9951,0,0.16923828125
1100155,110015,Ouro Preto do Oeste,11,RO,Rondônia,Norte,1102,Ji-Paraná,110004,Ji-Paraná,1102,Leste Rondoniense,11004,Ji-Paraná,-10.7167,-62.2565,0,0.7429867116642058
1101450,110145,Parecis,11,RO,Rondônia,Norte,1102,Ji-Paraná,110005,Cacoal,1102,Leste Rondoniense,11007,Vilhena,-12.1754,-61.6032,0,0.36881496881496884
1100189,110018,Pimenta Bueno,11,RO,Rondônia,Norte,1102,Ji-Paraná,110005,Cacoal,1102,Leste Rondoniense,11007,Vilhena,-11.672,-61.198,0,0.869759328247886
1101468,110146,Pimenteiras do Oeste,11,RO,Rondônia,Norte,1102,Ji-Paraná,110006,Vilhena,1102,Leste Rondoniense,11008,Colorado do Oeste,-13.4823,-61.0471,0,0.5580993520518358
1100205,110020,Porto Velho,11,RO,Rondônia,Norte,1101,Porto Velho,110001,Porto Velho,1101,Madeira-Guaporé,11001,Porto Velho,-8.76077,-63.8999,1,0.9118048571035198
1100254,110025,Presidente Médici,11,RO,Rondônia,Norte,1102,Ji-Paraná,110004,Ji-Paraná,1102,Leste Rondoniense,11004,Ji-Paraná,-11.169,-61.8986,0,0.5960392490702988
1101476,110147,Primavera de Rondônia,11,RO,Rondônia,Norte,1102,Ji-Paraná,110005,Cacoal,1102,Leste Rondoniense,11007,Vilhena,-11.8295,-61.3153,0,0.36435868331441545
1100262,110026,Rio Crespo,11,RO,Rondônia,Norte,1101,Porto Velho,110002,Ariquemes,1102,Leste Rondoniense,11003,Ariquemes,-9.69965,-62.9011,0,0.3208685162846803
