muni_code,ivs,idhm,i_gini,ivs_quint,idhm_quint
5300108,0.294,0.823,0.63,3,5
5200134,0.314,0.686,0.53,3,3
5200159,0.311,0.701,0.43,3,4
5200506,0.269,0.697,0.44,4,4
5200555,0.195,0.719,0.49,5,4
5200605,0.322,0.713,0.65,3,4
5200803,0.388,0.66,0.48,2,3
5200829,0.362,0.609,0.53,3,2
5200852,0.297,0.7,0.4,3,4
5200902,0.311,0.681,0.41,3,3
5201207,0.159,0.725,0.39,5,4
5201306,0.244,0.714,0.46,4,4
5201108,0.24,0.737,0.5,4,5
5201454,0.29,0.692,0.49,4,4
5201504,0.358,0.693,0.45,3,4
5201702,0.259,0.732,0.45,4,5
5202155,0.296,0.674,0.53,3,3
5201603,0.342,0.693,0.53,3,4
5202353,0.321,0.687,0.5,3,3
5202502,0.269,0.675,0.51,4,3
5202601,0.314,0.7,0.43,3,4
5202809,0.287,0.659,0.55,4,3
5203104,0.459,0.655,0.58,2,3
5203203,0.246,0.742,0.44,4,5
5203401,0.37,0.67,0.49,3,3
5203500,0.327,0.701,0.47,3,4
5203575,0.307,0.63,0.41,3,2
5203807,0.292,0.671,0.55,4,3
5203906,0.272,0.71,0.43,4,4
5203939,0.251,0.687,0.49,4,3
5203962,0.363,0.704,0.77,3,4
5204102,0.367,0.711,0.51,3,4
5204250,0.271,0.698,0.47,4,4
5204201,0.25,0.727,0.47,4,4
5204409,0.289,0.693,0.52,4,4
5204508,0.209,0.733,0.49,5,5
5204607,0.304,0.654,0.42,3,3
5204656,0.332,0.631,0.49,3,2
5204706,0.267,0.688,0.49,4,3
5204805,0.274,0.694,0.46,4,4
5204854,0.311,0.661,0.42,3,3
5204904,0.311,0.692,0.55,3,4
5204953,0.385,0.654,0.45,2,3
5205000,0.256,0.713,0.44,4,4
5205059,0.381,0.701,0.58,2,4
5205109,0.209,0.766,0.51,5,5
5205307,0.428,0.585,0.62,2,1
5204300,0.215,0.73,0.53,5,5
